Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
ABB.NS,65.03290296511516,79.78003223665498,0,Industrials,Specialty Industrial Machinery,18.124231,33.12820821527111,0,89.14859686278952,67.88104594976397,0.733,0.626,0,0
ABBOTINDIA.NS,19.27319394015275,14.544993761696817,0,Healthcare,Drug Manufacturers - Specialty & Generic,15.8783865,40.83915690002742,0,665.6407685900241,47.51812312668199,4.646,0.007,0,0
ABFRL.NS,,,0,Consumer Cyclical,Apparel Manufacturing,1.2839477,-14.603071565408019,1,-4.475450034365983,-17.377023406098047,73.632,-0.295,0,0
ABMINTLLTD.NS,-33.39692777312786,-35.06247937422514,0,Basic Materials,Specialty Chemicals,2.6992784,36.470734724695,0,0.19292091836734693,253.9900826446281,124.989,0.143,0,0
ABSLAMC.NS,9.58081923172166,5.23895772764727,0,Financial Services,Asset Management,6.0247116,19.616402045579957,0,32.25158167905068,24.144552281161825,1.826,0.254,0,0
ACC.NS,7.236753820471392,-3.4200282418406642,0,Basic Materials,Building Materials,1.9272771,35.82604280772175,1,127.91726729039743,14.88696592991518,2.316,0.064,0,0
ACCELYA.NS,30.59583896116206,47.73490891636762,0,Technology,Information Technology Services,7.251711,28.639208088017433,1,84.58667023977812,16.56171115411996,10.128,0.405,0,0
ACCURACY.NS,,-9.024283807372422,0,Industrials,Integrated Freight & Logistics,1.0533365,17.761163324158403,1,0.8675611052072264,9.970479252794366,96.157,0.0,0,0
ACE.NS,,,0,Industrials,Farm & Heavy Construction Machinery,9.149624,22.963909439700906,0,34.38794578196822,36.12893913109137,1.017,0.708,0,0
ADANIENT.NS,203.53997115483673,65.83213407477785,0,Energy,Thermal Coal,6.133211,17.3931003482234,0,60.261829420349116,42.05315411722724,162.597,0.752,0,0
ADANIGREEN.NS,48.8241308793456,34.72846441947566,0,Utilities,Utilities - Renewable,15.064098,124.57459401909904,0,8.178232552327673,124.57459401909904,354.583,0.809,0,0
ADANIPORTS.NS,31.755228682590975,22.148419190772874,0,Industrials,Marine Shipping,5.105407,11.490866060179773,0,51.349956216171826,28.660199705029395,79.193,0.374,0,0
